contract_id,contract_name,measure_id,measure_name,score,weight,domain
H0107 ,HEALTH CARE SERVICE CORPORATION ,C01,Breast Cancer Screening,4.0,1.0,Part C
H0712 ,"WELLCARE OF CONNECTICUT, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H0294 ,UNITEDHEALTHCARE INSURANCE COMPANY ,C01,Breast Cancer Screening,5.0,1.0,Part C
H0321 ,"ARIZONA PHYSICIANS IPA, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H0422 ,"UCARE HEALTH, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H0423 ,"METROPLUS HEALTH PLAN, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H0473 ,HUMANA INSURANCE COMPANY OF KENTUCKY ,C01,Breast Cancer Screening,3.0,1.0,Part C
H0504 ,CALIFORNIA PHYSICIANS' SERVICE ,C01,Breast Cancer Screening,5.0,1.0,Part C
H0543 ,UHC OF CALIFORNIA ,C01,Breast Cancer Screening,4.0,1.0,Part C
H0755 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H0907 ,"AMERIGROUP IOWA, INC. ",C01,Breast Cancer Screening,2.0,1.0,Part C
H0913 ,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H1016 ,"AVMED, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H1032 ,"Sunshine State Health Plan, Inc. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H1112 ,"WELLCARE OF GEORGIA, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H1170 ,"KAISER FOUNDATION HP OF GA, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H1969 ,"REGENCE BLUESHIELD OF IDAHO, INC. ",C01,Breast Cancer Screening,3.0,1.0,Part C
H1189 ,CHRISTUS HEALTH PLAN ,C01,Breast Cancer Screening,4.0,1.0,Part C
H1278 ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,C01,Breast Cancer Screening,4.0,1.0,Part C
H2172 ,KAISER FDTN HLTH PLAN OF THE MID-ATLANTIC STATES ,C01,Breast Cancer Screening,5.0,1.0,Part C
H1304 ,"REGENCE BLUESHIELD OF IDAHO, INC. ",C01,Breast Cancer Screening,5.0,1.0,Part C
H1607 ,"ANTHEM INSURANCE COMPANIES, INC. ",C01,Breast Cancer Screening,4.0,1.0,Part C
H2458 ,MEDICA HEALTH PLANS ,C01,Breast Cancer Screening,2.0,1.0,Part C
H2582 ,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION INC ,C01,Breast Cancer Screening,3.0,1.0,Part C
H1799 ,"MOLINA HEALTHCARE OF KENTUCKY, INC. ",C01,Breast Cancer Screening,1.0,1.0,Part C
